ticket_id,summary,description,root_cause,domain,priority,severity
SAM1-3056,Boot time exceeds 45 second requirement,System boot from power on to home screen takes 58-65 seconds. Requirement is max 45 seconds.,Boot sequence not optimized - sequential service startup should be parallelized,boot_and_system_domain,P1,High
SAM1-3041,Multiple phones connected causes instability,When 2+ phones are connected simultaneously Bluetooth becomes unstable and devices randomly disconnect.,Bluetooth stack not handling multi-point connection state machine correctly,bluetooth_connectivity_domain,P1,High
SAM1-3020,System becomes unresponsive after STR cycle,After suspend-to-RAM (sleep mode) and wake-up system UI is frozen and unresponsive to touch input.,Race condition in power manager - UI thread blocked waiting for deadlocked resource,stability_memory_domain,P1,High
SAM1-3032,Yellow screen of death and continuous reboot,System displays yellow error screen and enters continuous reboot loop. Cannot recover without reflash.,Critical service crash during initialization causing boot loop - likely core manager fault,stability_memory_domain,P0,Critical
SAM1-3116,Memory corruption in IPC message passing,Random crashes with memory corruption during heavy IPC.,Buffer overflow in IPC message serialization.,stability_memory_domain,P0,Critical
SAM1-3057,Black screen during boot for 30 seconds,After power on screen remains black for ~30 seconds before splash screen appears. Appears system is frozen.,Display initialization delayed - waiting for boot animation service that starts too late,boot_and_system_domain,P2,Medium
SAM1-3070,Boot partition mounting fails intermittently,Random boot failures with cannot mount boot partition error. Occurs approximately 1 in 20 boots.,Filesystem check on boot partition occasionally times out - disk I/O performance issue,boot_and_system_domain,P1,High
SAM1-3106,Bluetooth audio metadata not updating,Song title and artist information doesn't update during Bluetooth music playback.,AVRCP metadata event notifications not being processed by media controller,bluetooth_connectivity_domain,P3,Low
SAM1-3082,Subwoofer output not working,Subwoofer produces no output in any audio mode. All other speakers functioning normally.,Subwoofer channel not mapped in audio routing configuration,audio_system_domain,P2,Medium
SAM1-3027,Stack overflow in camera preview,Backup camera preview causes system crash with stack overflow error in logs.,Recursive function in image processing pipeline lacks base case termination,stability_memory_domain,P1,High
SAM1-3096,System won't boot in extreme cold temperature,In temperatures below -20°C system fails to boot. Screen remains black.,Boot storage device (eMMC) not responding at extreme low temperature - timing issue,boot_and_system_domain,P1,High
SAM1-3028,Kernel panic during heavy multitasking,Running navigation media player and phone simultaneously causes kernel panic and reboot.,Kernel memory exhaustion - not enough reserved memory for critical operations,stability_memory_domain,P0,Critical
SAM1-3065,Boot recovery mode not working,Attempting to boot into recovery mode fails. System always boots into normal mode.,Boot mode selection switch not read correctly - GPIO pin configuration error,boot_and_system_domain,P2,Medium
SAM1-3005,Audio delay when switching between apps,Noticeable 2-3 second delay in audio when switching between navigation and media player applications.,Audio focus management slow handoff between applications,audio_system_domain,P1,High
SAM1-3098,Bootloader version mismatch error,Boot fails with bootloader version mismatch error after software update.,Software update didn't update bootloader version compatibility check table,boot_and_system_domain,P0,Critical
SAM1-3101,Audio fade in/out not smooth,Volume fade when receiving navigation prompts is abrupt and jarring not smooth.,Audio fading using stepped volume changes instead of gradual ramping,audio_system_domain,P3,Low
SAM1-3037,Cannot pair new Bluetooth devices,System fails to enter pairing mode when attempting to add new Bluetooth device. Pairing button has no effect.,Bluetooth pairing service not responding - possibly crashed in background,bluetooth_connectivity_domain,P1,High
SAM1-3081,Audio mix causes distortion at maximum volume,When multiple audio sources overlap (navigation + media) distortion occurs at high volume levels.,Audio mixer not applying proper gain scaling for multi-source mixing,audio_system_domain,P2,Medium
SAM1-3094,Bluetooth connection latency very high,Touch play on phone takes 5+ seconds before audio starts on vehicle speakers.,Bluetooth connection interval set too long - should be shorter for lower latency,bluetooth_connectivity_domain,P2,Medium
SAM1-3085,Persistent audio artifacts after loud noise,After loud noise event (door slam horn) audio has clicking artifacts that persist for minutes.,Audio AGC (Automatic Gain Control) not recovering to normal state after saturation,audio_system_domain,P2,Medium
SAM1-3019,Application crash when switching profiles,Switching between user profiles causes application crash and return to home screen.,Use-after-free bug in profile manager - accessing deallocated user preference object,stability_memory_domain,P1,High
SAM1-3011,Audio source switch takes more than 500ms,Switching between any audio sources (USB/BT/FM/AUX) takes 500-800ms exceeding 200ms KPI requirement.,Large audio buffer (2048 samples) needs flush - should be 512 samples,audio_system_domain,P0,Critical
SAM1-3121,Memory not released after app termination,Application memory not reclaimed after force quit until reboot.,Application keeps shared memory segments attached.,stability_memory_domain,P2,Medium
SAM1-3012,Microphone echo during Bluetooth calls,Caller reports hearing their own voice echo during hands-free calls via Bluetooth.,Echo cancellation algorithm not tuned properly for vehicle acoustic environment,audio_system_domain,P2,Medium
SAM1-3127,System hang due to priority inversion,Low priority thread holding lock blocks high priority thread.,Priority inheritance not implemented for mutexes.,stability_memory_domain,P1,High
SAM1-3046,Bluetooth music playback control not working,Play/pause/skip controls on steering wheel don't work for Bluetooth music. Controls work for USB.,AVRCP profile commands not being forwarded to connected phone,bluetooth_connectivity_domain,P2,Medium
SAM1-3071,Emergency mode boot due to fsck failure,System boots into emergency mode reporting filesystem check failed. Requires manual intervention.,Filesystem errors detected during boot fsck - likely caused by previous improper shutdown,boot_and_system_domain,P1,High
SAM1-3079,Boot configuration data corruption,System fails to boot with boot configuration data corrupted error. Requires factory reset.,BCD store not properly maintained - corruption during previous shutdown,boot_and_system_domain,P1,High
SAM1-3048,Bluetooth pairing requires multiple attempts,Device pairing succeeds only after 3-4 attempts. First few attempts always fail with authentication error.,Bluetooth PIN code exchange timing window too short - phones not responding fast enough,bluetooth_connectivity_domain,P2,Medium
SAM1-3001,Audio playback stuttering during USB source,User reports intermittent audio stuttering when playing music from USB drive. Occurs especially during track changes. Audio buffer underrun detected in logs.,Audio buffer management issue - insufficient buffering during track transitions causing underruns,audio_system_domain,P1,High
SAM1-3013,Audio format not supported error for MP3 files,Some MP3 files show format not supported error despite being valid MP3 format.,Audio codec doesn't support variable bit rate MP3 encoding,audio_system_domain,P2,Low
SAM1-3043,Bluetooth auto-reconnect not working,After phone goes out of range and returns system doesn't automatically reconnect. Manual reconnect needed.,Auto-reconnect feature disabled in Bluetooth configuration - profile settings incorrect,bluetooth_connectivity_domain,P2,Medium
