ticket_id,summary,description,root_cause,domain,component,labels,priority,severity,frequency
SAM1-4084,Boot fails after failed software update,Partial OTA update leaves system unbootable. No rollback occurred.,Update process not atomic. Failed update corrupted boot partition without rollback.,boot_and_system_domain,OTAUpdate,"boot,update,rollback,failure",P0,Critical,Rarely
SAM1-4054,Boot fails with device tree parsing error,Kernel fails to boot with device tree blob parsing error in boot logs.,Device tree binary corrupted or incompatible version. DTB not matching kernel version.,boot_and_system_domain,Bootloader,"boot,kernel,device-tree,compatibility",P0,Critical,Always
SAM1-4071,Audio format detection incorrect for AAC files,AAC audio files misidentified as MP3 causing playback failure.,Media scanner magic number detection incorrect. AAC ADTS header not recognized.,audio_system_domain,MediaScanner,"audio,codec,detection,aac",P2,Medium,Sometimes
SAM1-4046,Cold boot much slower than warm boot,First boot after long power off takes 90 seconds. Warm reboots take normal 45 seconds.,Cold boot performing hardware calibration and training. Results not persisted to speed up next boot.,boot_and_system_domain,HardwareInit,"boot,cold-boot,calibration,performance",P2,Medium,Always
SAM1-4045,Boot fails after battery disconnect,After battery replacement or disconnect system fails to boot showing initialization error.,NVRAM settings lost after power loss. Boot expecting config that doesn't exist.,boot_and_system_domain,NVRAMService,"boot,nvram,power-loss,config",P1,High,Sometimes
SAM1-4040,Bluetooth disconnects during phone software update,When phone receives software update Bluetooth disconnects and won't reconnect until reboot.,Bluetooth stack not handling device disconnection gracefully. Connection state corrupted.,bluetooth_connectivity_domain,BluetoothService,"bluetooth,disconnect,state",P2,Medium,Sometimes
SAM1-4023,Resource leak in camera service,Camera preview causes memory leak. Memory usage increases while camera active.,Camera frame buffers allocated but not released after frame processing complete.,stability_memory_domain,CameraService,"memory,camera,leak,buffer",P1,High,Always
SAM1-4081,HDMI audio output not working,External display connected via HDMI shows video but no audio output.,HDMI audio infoframe not configured. Display not aware of audio availability.,audio_system_domain,HDMIAudio,"audio,hdmi,display,config",P2,Medium,Always
SAM1-4011,System runs out of memory during long trip,On drives longer than 4 hours system becomes sluggish and eventually crashes with OOM.,Navigation history log growing unbounded in memory. Route history not pruned or moved to disk.,stability_memory_domain,NavigationService,"memory,navigation,oom,leak",P1,High,Always
SAM1-4001,FM Radio frequency drift during temperature change,FM Radio gradually drifts off station as cabin temperature increases. Auto-tuning doesn't compensate properly.,RF oscillator temperature coefficient too high causing frequency drift. PLL calibration table missing temperature compensation values.,audio_system_domain,RadioTuner,"audio,fm-radio,temperature",P2,Medium,Sometimes
SAM1-4019,Stack size too small for media processing,Video playback crashes with stack overflow in decoder thread.,Media decoder thread stack size set to 64KB but requires 512KB for 4K video processing.,stability_memory_domain,MediaDecoder,"memory,stack,overflow,video",P1,High,Always
SAM1-4031,Bluetooth LE and Classic interference,When BLE devices connected classic Bluetooth audio has stuttering and dropouts.,BLE and Classic Bluetooth sharing same RF channels without proper coexistence management.,bluetooth_connectivity_domain,BluetoothRadio,"bluetooth,ble,classic,interference",P2,Medium,Always
SAM1-4074,Boot ramdisk image too large,Boot fails with ramdisk too large error on systems with limited memory.,Ramdisk includes unnecessary debug tools and files. Should be minimized for production.,boot_and_system_domain,BootImage,"boot,ramdisk,size,memory",P1,High,Always
SAM1-4034,Bluetooth profile switching causes disconnection,Switching from music to call causes Bluetooth to disconnect completely and reconnect.,Profile switch triggering full Bluetooth stack reset. Should be seamless transition.,bluetooth_connectivity_domain,BluetoothService,"bluetooth,profile,switch,disconnect",P2,Medium,Always
SAM1-4091,Bluetooth audio buffer underruns,Bluetooth audio has periodic stuttering every 30-60 seconds.,Bluetooth audio thread priority too low. Audio processing delayed by other tasks.,bluetooth_connectivity_domain,BluetoothAudio,"bluetooth,audio,underrun,priority",P2,Medium,Frequently
SAM1-4005,Sirius XM channel guide not loading,Satellite radio channel guide shows loading indefinitely. Channels playable but no metadata.,XM metadata service timing out. TCP connection not established due to firewall blocking port 8080.,audio_system_domain,SatelliteRadio,"audio,xm,metadata,network",P2,Medium,Always
SAM1-4077,Bluetooth refuses connection when battery low,When vehicle battery below 11V Bluetooth won't accept connections.,Power management policy disabling Bluetooth during low battery condition.,bluetooth_connectivity_domain,PowerManagement,"bluetooth,battery,power,policy",P2,Medium,Sometimes
SAM1-4078,Boot takes longer with many USB devices connected,Each USB device connected adds 3-5 seconds to boot time.,USB device enumeration happening serially during boot. Should be parallel or async.,boot_and_system_domain,USBSubsystem,"boot,usb,performance,enumeration",P2,Medium,Always
SAM1-4013,Weather widget causing memory corruption,Enabling weather widget on home screen causes random crashes in unrelated applications.,Weather widget writing beyond allocated buffer. Heap corruption affecting other application memory.,stability_memory_domain,WeatherWidget,"memory,corruption,widget,crash",P1,High,Always
SAM1-4032,Bluetooth hands-free volume very low,Caller audio volume during hands-free calls extremely quiet even at maximum setting.,HFP audio path gain set incorrectly. Microphone and speaker gains not calibrated.,bluetooth_connectivity_domain,BluetoothHFP,"bluetooth,hfp,volume,audio",P2,Medium,Always
SAM1-4056,Voice command audio feedback very quiet,System beep and voice responses to voice commands barely audible.,Voice feedback audio stream routed to wrong output. Volume level not configured for feedback channel.,audio_system_domain,VoiceControl,"audio,voice,volume,feedback",P2,Medium,Always
SAM1-4089,Audio spectrum analyzer causing CPU spike,Enabling audio visualizer causes UI lag and high CPU usage.,Spectrum analyzer running FFT on main thread blocking UI updates. Should use worker thread.,audio_system_domain,AudioVisualizer,"audio,cpu,performance,fft",P2,Medium,Always
SAM1-4027,Bluetooth Audio Sink (A2DP) initialization fails,Phone connects but audio won't stream to vehicle. A2DP profile connection fails.,A2DP SBC encoder initialization failing. Codec library missing or incompatible version.,bluetooth_connectivity_domain,BluetoothAudio,"bluetooth,a2dp,codec,fail",P0,Critical,Always
SAM1-4043,Secure element initialization timeout at boot,Boot hangs for 30 seconds waiting for secure element hardware to respond.,SE hardware initialization timeout too long. Should fail faster and retry in background.,boot_and_system_domain,SecureElement,"boot,timeout,hardware,security",P2,Medium,Always
SAM1-4070,Boot kernel panics with MMC read error,Intermittent kernel panic during boot with eMMC read timeout error.,eMMC storage device developing bad blocks. Hardware failure requiring replacement.,boot_and_system_domain,StorageDriver,"boot,emmc,hardware,failure",P0,Critical,Rarely
SAM1-4016,Database cache growing without limit,SQLite database cache consuming 500MB+ memory. Queries become slower over time.,Database cache size not configured with upper limit. Cache grows unbounded in memory.,stability_memory_domain,DatabaseService,"memory,database,cache,performance",P2,Medium,Always
SAM1-4041,Boot splash screen shows artifacts,During boot animation strange visual glitches and artifacts appear on screen.,Frame buffer not cleared before boot animation starts. Contains random memory contents.,boot_and_system_domain,BootAnimator,"boot,display,graphics,artifact",P3,Low,Always
SAM1-4097,ALSA buffer configuration causing latency,Audio playback has 500ms latency between command and sound output.,ALSA buffer size set too large (4096 frames). Should be 256-512 for low latency.,audio_system_domain,ALSADriver,"audio,latency,alsa,buffer",P2,Medium,Always
SAM1-4010,Audio volume inconsistent between sources,FM Radio plays much louder than Bluetooth at same volume level setting. Inconsistent loudness.,Source-specific volume calibration not applied. Audio output gain not normalized across sources.,audio_system_domain,AudioMixer,"audio,volume,calibration",P2,Medium,Always
SAM1-4073,Bluetooth headset button controls not working,Play/pause button on Bluetooth headset has no effect. Only works for phone calls.,AVRCP passthrough commands not mapped to media player controls.,bluetooth_connectivity_domain,BluetoothAVRCP,"bluetooth,avrcp,controls,headset",P2,Medium,Always
SAM1-4012,Kernel module causing memory leak,Kernel memory continuously decreasing even when no applications running. System unstable after 48 hours uptime.,GPU kernel driver allocating DMA buffers without proper cleanup. Memory never returned to system.,stability_memory_domain,KernelDriver,"memory,kernel,leak,gpu",P0,Critical,Always
SAM1-4048,Boot fails with TPM initialization error,Trusted Platform Module init fails causing boot to halt with security error.,TPM firmware version incompatible with platform. Requires TPM firmware update.,boot_and_system_domain,TPM,"boot,security,tpm,firmware",P0,Critical,Always
SAM1-4086,Zoned memory allocation causing fragmentation,DMA zones depleted while normal zones have free memory causing allocation failures.,Zone allocation policy too strict. Should allow fallback to other zones when preferred zone full.,stability_memory_domain,ZoneAllocator,"memory,dma,zones,fragmentation",P1,High,Sometimes
SAM1-4029,Phone book access blocked by permissions,Cannot download contacts from phone via Bluetooth PBAP.,Android PBAP permissions not granted. User not prompted for contact access permission.,bluetooth_connectivity_domain,BluetoothPBAP,"bluetooth,pbap,contacts,permission",P2,Medium,Always
SAM1-4094,OOM killer terminating wrong processes,When low memory occurs OOM killer terminates critical system services instead of apps.,OOM score adjustment not configured. Critical services have default killable priority.,stability_memory_domain,OOMKiller,"memory,oom,priority,policy",P1,High,Sometimes
SAM1-4006,Audio focus not released after navigation prompt,After navigation announcement media doesn't resume playing automatically. Must manually press play.,Navigation audio focus not being abandoned after prompt completion. Focus release callback not invoked.,audio_system_domain,AudioFocusManager,"audio,navigation,focus",P2,Medium,Always
SAM1-4067,Bluetooth inquiry scan response delayed,Other devices take long time to discover this vehicle during Bluetooth scan.,Inquiry scan interval too long. Device not discoverable responsive enough.,bluetooth_connectivity_domain,BluetoothDiscovery,"bluetooth,discovery,scan,timing",P3,Low,Always
SAM1-4066,Bluetooth EDR throughput very low,Bluetooth file transfer speeds only reaching 100KB/s should be 2-3MB/s.,Bluetooth Enhanced Data Rate not enabled. Falling back to basic rate limiting throughput.,bluetooth_connectivity_domain,BluetoothEDR,"bluetooth,throughput,edr,performance",P3,Low,Always
SAM1-4036,Bluetooth message access profile not working,Cannot read SMS messages via Bluetooth MAP.,MAP profile not implemented. Only PBAP and HFP profiles available in build.,bluetooth_connectivity_domain,BluetoothMAP,"bluetooth,map,sms,missing",P3,Low,Always
